material_abbreviation,material_name,section,property_name,value,english,comments,unit,test_condition,source_file
PA11,"Nylon 11, Unreinforced",Mechanical Properties,"Charpy Impact, Notched",0.400 - 1.80,1.90 - 8.57 ft-lb/in²,Average value: 0.967 J/cm² Grade Count:24,,@Temperature -30.0 - 30.0 °C,Polymers_material_data.csv
PA11,"Nylon 11, Unreinforced",Mechanical Properties,Puncture Energy,65.0 - 70.0,47.9 - 51.6 ft-lb,Average value: 68.3 J Grade Count:3,,@Temperature -30.0 - 30.0 °C,Polymers_material_data.csv
PA11,"Nylon 11, Unreinforced",Electrical Properties,Electrical Resistivity,600 - 2.00e+15,600 - 2.00e+15 ohm-cm,Average value: 2.45e+14 ohm-cm Grade Count:14,ohm-cm,,Polymers_material_data.csv
PA11,"Nylon 11, Unreinforced",Electrical Properties,Surface Resistance,2400 - 1.00e+14,2400 - 1.00e+14 ohm,Average value: 4.21e+13 ohm Grade Count:11,ohm,,Polymers_material_data.csv
PA11,"Nylon 11, Unreinforced",Electrical Properties,Dielectric Constant,3.00 - 10.0,3.00 - 10.0,Average value: 4.47 Grade Count:9,,,Polymers_material_data.csv
PA11,"Nylon 11, Unreinforced",Electrical Properties,Dielectric Strength,20.0 - 40.0,508 - 1020 kV/in,Average value: 29.3 kV/mm Grade Count:12,kV/mm,,Polymers_material_data.csv
PA11,"Nylon 11, Unreinforced",Electrical Properties,Dissipation Factor,0.0166 - 0.244,0.0166 - 0.244,Average value: 0.0849 Grade Count:7,,,Polymers_material_data.csv
PA11,"Nylon 11, Unreinforced",Electrical Properties,Comparative Tracking Index,600,600 V,Average value: 600 V Grade Count:6,V,,Polymers_material_data.csv
PA11,"Nylon 11, Unreinforced",Thermal Properties,"CTE, linear",85.0 - 224,47.2 - 125 µin/in-°F,Average value: 110 µm/m-°C Grade Count:11,µm/m-°C,,Polymers_material_data.csv
PA11,"Nylon 11, Unreinforced",Thermal Properties,"CTE, linear",317.9 - 317.9,176.6 - 176.6 µin/in-°F,Average value: 318 µm/m-°C Grade Count:1,,@Temperature 100 - 170 °C,Polymers_material_data.csv
PA11,"Nylon 11, Unreinforced",Thermal Properties,Thermal Conductivity,0.230 - 0.300,1.60 - 2.08 BTU-in/hr-ft²-°F,Average value: 0.253 W/m-K Grade Count:3,W/m-K,,Polymers_material_data.csv
PA11,"Nylon 11, Unreinforced",Thermal Properties,Melting Point,181 - 201,358 - 394 °F,Average value: 187 °C Grade Count:36,°C,,Polymers_material_data.csv
PA11,"Nylon 11, Unreinforced",Thermal Properties,"Maximum Service Temperature, Air",80.0 - 150,176 - 302 °F,Average value: 102 °C Grade Count:5,°C,,Polymers_material_data.csv
PA11,"Nylon 11, Unreinforced",Thermal Properties,Deflection Temperature at 0.46 MPa (66 psi),110 - 186,230 - 367 °F,Average value: 152 °C Grade Count:18,°C,,Polymers_material_data.csv
PA11,"Nylon 11, Unreinforced",Thermal Properties,Deflection Temperature at 1.8 MPa (264 psi),45.0 - 182,113 - 360 °F,Average value: 68.7 °C Grade Count:23,°C,,Polymers_material_data.csv
PA11,"Nylon 11, Unreinforced",Thermal Properties,Vicat Softening Point,140 - 180,284 - 356 °F,Average value: 157 °C Grade Count:10,°C,,Polymers_material_data.csv
PA11,"Nylon 11, Unreinforced",Thermal Properties,"Flammability, UL94",HB - V-2,HB - V-2,Grade Count:6,,,Polymers_material_data.csv
PA11,"Nylon 11, Unreinforced",Processing Properties,Melt Temperature,224 - 288,435 - 550 °F,Average value: 261 °C Grade Count:15,°C,,Polymers_material_data.csv
PA11,"Nylon 11, Unreinforced",Processing Properties,Mold Temperature,30.0 - 65.6,86.0 - 150 °F,Average value: 48.9 °C Grade Count:15,°C,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Physical Properties,Density,1.01 - 1.51,0.0365 - 0.0546 lb/in³,Average value: 1.20 g/cc Grade Count:759,g/cc,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Physical Properties,Density,0.960 - 1.17,0.0347 - 0.0423 lb/in³,Average value: 1.01 g/cc Grade Count:47,g/cc,@Temperature 270 - 330 °C,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Physical Properties,Water Absorption,0.0150 - 0.700,0.0150 - 0.700 %,Average value: 0.229 % Grade Count:321,%,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Physical Properties,Moisture Absorption at Equilibrium,0.120 - 0.350,0.120 - 0.350 %,Average value: 0.185 % Grade Count:214,%,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Physical Properties,Moisture Absorption at Equilibrium,0.580 - 0.580,0.580 - 0.580 %,Average value: 0.580 % Grade Count:12,%,@Temperature 100 - 100 °C,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Physical Properties,Water Absorption at Saturation,0.300 - 0.400,0.300 - 0.400 %,Average value: 0.309 % Grade Count:104,%,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Physical Properties,Water Absorption at Saturation,0.580 - 0.580,0.580 - 0.580 %,Average value: 0.580 % Grade Count:1,%,@Temperature 100 - 100 °C,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Physical Properties,Water Vapor Transmission,15.0,0.966 g/100 in²/day,Average value: 15.0 g/m²/day Grade Count:34,g/m²/day,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Physical Properties,Oxygen Transmission,65.0 - 3150,165 - 8000 cc-mil/100 in²-24hr-atm,Average value: 446 cc-mm/m²-24hr-atm Grade Count:29,cc-mm/m²-24hr-atm,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Physical Properties,Nitrogen Transmission,12.0 - 630,30.5 - 1600 cc-mil/100 in²-24hr-atm,Average value: 85.5 cc-mm/m²-24hr-atm Grade Count:29,cc-mm/m²-24hr-atm,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Physical Properties,Carbon Dioxide Transmission,380 - 18900,965 - 48000 cc-mil/100 in²-24hr-atm,Average value: 2710 cc-mm/m²-24hr-atm Grade Count:29,cc-mm/m²-24hr-atm,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Physical Properties,Viscosity Number,41.0 - 68.0,0.410 - 0.680 dl/g,Average value: 54.3 cm³/g Grade Count:47,cm³/g,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Physical Properties,Maximum Moisture Content,0.0200 - 0.0300,0.0200 - 0.0300,Average value: 0.0202 Grade Count:55,,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Physical Properties,Linear Mold Shrinkage,0.00100 - 0.0600,0.00100 - 0.0600 in/in,Average value: 0.00623 cm/cm Grade Count:625,cm/cm,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Physical Properties,Linear Mold Shrinkage,0.00700 - 0.00700,0.00700 - 0.00700 in/in,Average value: 0.00700 cm/cm Grade Count:2,cm/cm,@Temperature 80.0 - 80.0 °C,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Physical Properties,"Linear Mold Shrinkage, Transverse",0.00260 - 0.00900,0.00260 - 0.00900 in/in,Average value: 0.00635 cm/cm Grade Count:193,cm/cm,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Physical Properties,"Linear Mold Shrinkage, Transverse",0.00700 - 0.00700,0.00700 - 0.00700 in/in,Average value: 0.00700 cm/cm Grade Count:2,cm/cm,@Temperature 80.0 - 80.0 °C,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Physical Properties,Melt Flow,1.00 - 139,1.00 - 139 g/10 min,Average value: 17.0 g/10 min Grade Count:679,g/10 min,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Physical Properties,Spiral Flow,12.0 - 30.0,4.72 - 11.8 in,Average value: 21.8 cm Grade Count:6,cm,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Mechanical Properties,"Hardness, Rockwell M",50.0 - 123,50.0 - 123,Average value: 70.6 Grade Count:134,,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Mechanical Properties,"Hardness, Rockwell R",72.0 - 124,72.0 - 124,Average value: 119 Grade Count:168,,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Mechanical Properties,Ball Indentation Hardness,103 - 130,15000 - 18900 psi,Average value: 116 MPa Grade Count:71,MPa,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Mechanical Properties,"Tensile Strength, Ultimate",30.0 - 105,4350 - 15200 psi,Average value: 64.2 MPa Grade Count:350,MPa,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Mechanical Properties,"Tensile Strength, Ultimate",23.0 - 51.0,3340 - 7400 psi,Average value: 38.1 MPa Grade Count:4,MPa,@Temperature 60.0 - 120 °C,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Mechanical Properties,"Tensile Strength, Yield",40.0 - 154,5800 - 22300 psi,Average value: 62.5 MPa Grade Count:623,MPa,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Mechanical Properties,Elongation at Break,3.00 - 233,3.00 - 233 %,Average value: 85.9 % Grade Count:596,%,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Mechanical Properties,Elongation at Break,70.0 - 70.0,70.0 - 70.0 %,Average value: 90.0 % Grade Count:1,%,@Temperature 60.0 - 120 °C,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Mechanical Properties,Elongation at Yield,4.00 - 118,4.00 - 118 %,Average value: 7.97 % Grade Count:381,%,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Mechanical Properties,Elongation at Yield,2.50 - 4.00,2.50 - 4.00 %,Average value: 3.17 % Grade Count:1,%,@Temperature 60.0 - 120 °C,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Mechanical Properties,Modulus of Elasticity,1.58 - 6.00,229 - 870 ksi,Average value: 2.39 GPa Grade Count:441,GPa,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Mechanical Properties,Modulus of Elasticity,1.60 - 2.10,232 - 305 ksi,Average value: 1.83 GPa Grade Count:1,GPa,@Temperature 60.0 - 120 °C,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Mechanical Properties,Flexural Yield Strength,27.6 - 205,4000 - 29700 psi,Average value: 90.9 MPa Grade Count:625,MPa,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Mechanical Properties,Flexural Modulus,0.228 - 10.0,33.0 - 1450 ksi,Average value: 2.38 GPa Grade Count:677,GPa,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Mechanical Properties,Flexural Modulus,1.70 - 2.20,247 - 319 ksi,Average value: 1.88 GPa Grade Count:3,GPa,@Temperature 60.0 - 120 °C,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Mechanical Properties,Flexural Strain at Break,6.80 - 7.50,6.80 - 7.50 %,Average value: 7.06 % Grade Count:18,%,@Temperature 60.0 - 120 °C,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Mechanical Properties,Flexural Strain at Yield,6.60 - 7.30,6.60 - 7.30 %,Average value: 7.03 % Grade Count:46,%,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Mechanical Properties,Compressive Yield Strength,76.0 - 86.2,11000 - 12500 psi,Average value: 82.4 MPa Grade Count:8,MPa,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Mechanical Properties,"Izod Impact, Notched",0.392,0.735 ft-lb/in - NB,Average value: 8.40 J/cm Grade Count:394,J/cm,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Mechanical Properties,"Izod Impact, Notched",0.100 - 7.48,0.187 - 14.0 ft-lb/in,Average value: 4.16 J/cm Grade Count:12,J/cm,@Temperature -40.0 - 0.000 °C,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Mechanical Properties,"Izod Impact, Notched",2.1356 - 7.47267,4.0009 - 13.9994 ft-lb/in,Average value: 4.16 J/cm Grade Count:6,J/cm,@Temperature -40.0 - -30.0 °C,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Mechanical Properties,"Izod Impact, Notched",2.1356 - 7.47267,4.0009 - 13.9994 ft-lb/in,Average value: 4.16 J/cm Grade Count:6,J/cm,@Thickness 3.17 - 3.20 mm,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Mechanical Properties,"Izod Impact, Unnotched",0.600 - 5340,1.12 - 10000 ft-lb/in,Average value: 17.5 J/cm Grade Count:74,J/cm,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Mechanical Properties,"Izod Impact, Unnotched",1.50 - 2.50,2.81 - 4.68 ft-lb/in,Average value: 2.00 J/cm Grade Count:2,J/cm,@Temperature -30.0 - 0.000 °C,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Mechanical Properties,"Izod Impact, Notched (ISO)",6.00 - 90.0,2.86 - 42.8 ft-lb/in²,Average value: 64.1 kJ/m² Grade Count:180,kJ/m²,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Mechanical Properties,"Izod Impact, Notched (ISO)",10.0 - 60.0,4.76 - 28.6 ft-lb/in²,Average value: 18.8 kJ/m² Grade Count:23,kJ/m²,@Temperature -40.0 - -20.0 °C,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Mechanical Properties,"Izod Impact, Notched (ISO)",1.20 - 150,0.571 - 71.4 ft-lb/in²,Average value: 18.8 kJ/m² Grade Count:71,kJ/m²,@Temperature -30.0 - -20.0 °C,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Mechanical Properties,"Izod Impact, Notched (ISO)",1.20 - 150,0.571 - 71.4 ft-lb/in²,Average value: 18.8 kJ/m² Grade Count:71,kJ/m²,@Thickness 3.00 - 3.20 mm,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Mechanical Properties,"Izod Impact, Unnotched (ISO)",21000,9990 ft-lb/in²,Grade Count:3,kJ/m²,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Mechanical Properties,"Izod Impact, Unnotched (ISO)",20997.9 - 20997.9,9991.75 - 9991.75 ft-lb/in²,Grade Count:3,kJ/m²,@Temperature -30.0 - -30.0 °C,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Mechanical Properties,Charpy Impact Unnotched,4.00,19.0 ft-lb/in² - NB,Average value: 24.8 J/cm² Grade Count:247,J/cm²,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Mechanical Properties,Charpy Impact Unnotched,2.00,9.52 ft-lb/in² - NB,Average value: 23.6 J/cm² Grade Count:136,J/cm²,@Temperature -60.0 - -20.0 °C,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Mechanical Properties,Charpy Impact Unnotched,1.60 - 1.60,7.61 - 7.61 ft-lb/in²,Average value: 23.6 J/cm² Grade Count:1,J/cm²,@Temperature -30.0 - -30.0 °C,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Mechanical Properties,Charpy Impact Unnotched,1.60 - 1.60,7.61 - 7.61 ft-lb/in²,Average value: 23.6 J/cm² Grade Count:1,J/cm²,@Thickness 3.00 - 3.00 mm,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Mechanical Properties,"Charpy Impact, Notched",0.300 - 11.8,1.43 - 56.2 ft-lb/in²,Average value: 4.84 J/cm² Grade Count:227,J/cm²,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Mechanical Properties,"Charpy Impact, Notched",0.600 - 5.04,2.86 - 24.0 ft-lb/in²,Average value: 1.50 J/cm² Grade Count:32,J/cm²,@Temperature -40.0 - -20.0 °C,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Mechanical Properties,"Charpy Impact, Notched",1.20 - 5.00,5.71 - 23.8 ft-lb/in²,Average value: 1.50 J/cm² Grade Count:62,J/cm²,@Temperature -30.0 - -30.0 °C,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Mechanical Properties,"Charpy Impact, Notched",1.20 - 5.00,5.71 - 23.8 ft-lb/in²,Average value: 1.50 J/cm² Grade Count:62,J/cm²,@Thickness 3.00 - 3.00 mm,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Mechanical Properties,Gardner Impact,36.2 - 169,26.7 - 125 ft-lb,Average value: 67.1 J Grade Count:56,J,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Mechanical Properties,Gardner Impact,>= 36.1552,>= 26.6667 ft-lb,Average value: 36.2 J Grade Count:5,J,@Temperature -30.0 - -18.0 °C,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Mechanical Properties,Tensile Impact Strength,546 - 630,260 - 300 ft-lb/in²,Average value: 562 kJ/m² Grade Count:18,kJ/m²,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Mechanical Properties,"Dart Drop, Total Energy",16.0 - 94.0,11.8 - 69.3 ft-lb,Average value: 65.0 J Grade Count:21,J,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Mechanical Properties,"Dart Drop, Total Energy",11.0 - 16.0,8.11 - 11.8 ft-lb,Average value: 14.3 J Grade Count:3,J,@Temperature -30.0 - -30.0 °C,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Mechanical Properties,Falling Dart Impact,53.8 - 1300,39.7 - 960 ft-lb,Average value: 698 J Grade Count:8,J,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Mechanical Properties,Falling Dart Impact,75.9 - 75.9,56.0 - 56.0 ft-lb,Average value: 75.9 J Grade Count:1,J,@Temperature -40.0 - -40.0 °C,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Mechanical Properties,Puncture Energy,45.0 - 65.0,33.2 - 47.9 ft-lb,Average value: 57.3 J Grade Count:81,J,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Mechanical Properties,Puncture Energy,40.0 - 75.0,29.5 - 55.3 ft-lb,Average value: 63.6 J Grade Count:76,J,@Temperature -30.0 - -30.0 °C,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Mechanical Properties,"Tensile Creep Modulus, 1 hour",2100 - 2200,305000 - 319000 psi,Average value: 2200 MPa Grade Count:45,MPa,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Mechanical Properties,"Tensile Creep Modulus, 1000 hours",1700 - 1900,247000 - 276000 psi,Average value: 1900 MPa Grade Count:45,MPa,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Mechanical Properties,"Taber Abrasion, mg/1000 Cycles",10.0,10.0,Average value: 10.0 Grade Count:13,,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Electrical Properties,Electrical Resistivity,10200 - 1.00e+18,10200 - 1.00e+18 ohm-cm,Average value: 1.88e+16 ohm-cm Grade Count:366,ohm-cm,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Electrical Properties,Surface Resistance,100 - 4.20e+16,100 - 4.20e+16 ohm,Average value: 4.29e+15 ohm Grade Count:281,ohm,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Electrical Properties,Dielectric Constant,2.70 - 3.40,2.70 - 3.40,Average value: 3.00 Grade Count:277,,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Electrical Properties,Dielectric Strength,11.8 - 35.0,300 - 889 kV/in,Average value: 28.0 kV/mm Grade Count:307,kV/mm,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Electrical Properties,Dissipation Factor,0.000500 - 0.0150,0.000500 - 0.0150,Average value: 0.00498 Grade Count:263,,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Electrical Properties,Arc Resistance,0.000 - 120,0.000 - 120 sec,Average value: 91.0 sec Grade Count:63,sec,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Electrical Properties,Comparative Tracking Index,85.0 - 600,85.0 - 600 V,Average value: 256 V Grade Count:284,V,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Electrical Properties,"Hot Wire Ignition, HWI",15.0 - 120,15.0 - 120 sec,Average value: 57.7 sec Grade Count:32,sec,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Electrical Properties,"High Amp Arc Ignition, HAI",30.0 - 120,30.0 - 120 arcs,Average value: 112 arcs Grade Count:32,arcs,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Electrical Properties,"High Voltage Arc-Tracking Rate, HVTR",10.0 - 150,0.394 - 5.91 in/min,Average value: 55.7 mm/min Grade Count:29,mm/min,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Thermal Properties,"CTE, linear",20.0 - 117,11.1 - 65.0 µin/in-°F,Average value: 66.0 µm/m-°C Grade Count:380,µm/m-°C,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Thermal Properties,"CTE, linear, Transverse to Flow",33.0 - 90.0,18.3 - 50.0 µin/in-°F,Average value: 66.7 µm/m-°C Grade Count:215,µm/m-°C,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Thermal Properties,Specific Heat Capacity,1.25 - 2.28,0.299 - 0.545 BTU/lb-°F,Average value: 1.65 J/g-°C Grade Count:58,J/g-°C,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Thermal Properties,Thermal Conductivity,0.163 - 2.00,1.13 - 13.9 BTU-in/hr-ft²-°F,Average value: 0.216 W/m-K Grade Count:129,W/m-K,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Thermal Properties,Melting Point,224 - 315,435 - 599 °F,Average value: 282 °C Grade Count:10,°C,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Thermal Properties,"Maximum Service Temperature, Air",116 - 150,240 - 302 °F,Average value: 124 °C Grade Count:97,°C,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Thermal Properties,Hot Ball Pressure Test,90.0 - 144,194 - 291 °F,Average value: 131 °C Grade Count:109,°C,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Thermal Properties,Deflection Temperature at 0.46 MPa (66 psi),57.2 - 208,135 - 406 °F,Average value: 139 °C Grade Count:432,°C,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Thermal Properties,Deflection Temperature at 1.8 MPa (264 psi),77.8 - 187,172 - 369 °F,Average value: 128 °C Grade Count:692,°C,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Thermal Properties,Vicat Softening Point,100 - 218,212 - 424 °F,Average value: 146 °C Grade Count:416,°C,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Thermal Properties,"Minimum Service Temperature, Air",-40.0,-40.0 °F,Average value: -40.0 °C Grade Count:43,°C,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Thermal Properties,"Glass Transition Temp, Tg",142 - 152,288 - 306 °F,Average value: 146 °C Grade Count:70,°C,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Thermal Properties,"UL RTI, Electrical",75.0 - 154,167 - 310 °F,Average value: 120 °C Grade Count:204,°C,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Thermal Properties,"UL RTI, Mechanical with Impact",75.0 - 130,167 - 266 °F,Average value: 117 °C Grade Count:184,°C,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Thermal Properties,"UL RTI, Mechanical without Impact",75.0 - 150,167 - 302 °F,Average value: 120 °C Grade Count:184,°C,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Thermal Properties,"Flammability, UL94",HB - 5VA,HB - 5VA,Grade Count:541,,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Thermal Properties,Flash Point,450 - 550,842 - 1020 °F,Average value: 510 °C Grade Count:66,°C,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Thermal Properties,Oxygen Index,22.0 - 40.0,22.0 - 40.0 %,Average value: 29.0 % Grade Count:187,%,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Thermal Properties,Glow Wire Test,675 - 960,1250 - 1760 °F,Average value: 877 °C Grade Count:192,°C,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Thermal Properties,Ignition Temperature,530 - 550,986 - 1020 °F,Average value: 543 °C Grade Count:8,°C,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Optical Properties,Refractive Index,1.51 - 1.59,1.51 - 1.59,Average value: 1.58 Grade Count:120,,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Optical Properties,Haze,0.100 - 100,0.100 - 100 %,Average value: 1.79 % Grade Count:121,%,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Optical Properties,Gloss,3.00 - 90.0,3.00 - 90.0 %,Average value: 47.3 % Grade Count:7,%,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Optical Properties,"Transmission, Visible",20.0 - 93.0,20.0 - 93.0 %,Average value: 87.3 % Grade Count:230,%,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Optical Properties,UV Transmittance,88.0,88.0 %,Average value: 88.0 % Grade Count:32,%,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Processing Properties,Processing Temperature,249 - 320,480 - 608 °F,Average value: 281 °C Grade Count:49,°C,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Processing Properties,Nozzle Temperature,227 - 343,441 - 650 °F,Average value: 292 °C Grade Count:128,°C,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Processing Properties,Melt Temperature,210 - 343,410 - 650 °F,Average value: 290 °C Grade Count:384,°C,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Processing Properties,Mold Temperature,32.2 - 160,90.0 - 320 °F,Average value: 88.9 °C Grade Count:397,°C,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Processing Properties,Injection Velocity,200,7.87 in/sec,Average value: 200 mm/sec Grade Count:115,mm/sec,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Processing Properties,Drying Temperature,70.0 - 130,158 - 266 °F,Average value: 118 °C Grade Count:266,°C,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Processing Properties,Moisture Content,0.0100 - 0.0400,0.0100 - 0.0400 %,Average value: 0.0203 % Grade Count:107,%,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Processing Properties,Dew Point,-28.9 - 17.8,-20.0 - 0.000 °F,Average value: -25.2 °C Grade Count:15,°C,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Processing Properties,Drying Air Flow Rate,22.7 - 28.3,0.800 - 1.00 ft³/min (CFM),Average value: 25.5 l/min Grade Count:5,l/min,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Processing Properties,Injection Pressure,5.52 - 152,800 - 22000 psi,Average value: 71.1 MPa Grade Count:54,MPa,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Processing Properties,Vent Depth,0.00127 - 0.00762,0.000500 - 0.00300 in,Average value: 0.00283 cm Grade Count:46,cm,,Polymers_material_data.csv
PC,"Polycarbonate, Molded",Processing Properties,Cushion,0.635,0.250 in,Average value: 0.635 cm Grade Count:5,cm,,Polymers_material_data.csv
PBT,"Polybutylene Terephthalate (PBT), Unreinforced, Molded",Physical Properties,Density,0.900 - 1.92,0.0325 - 0.0694 lb/in³,Average value: 1.38 g/cc Grade Count:400,g/cc,,Polymers_material_data.csv
PBT,"Polybutylene Terephthalate (PBT), Unreinforced, Molded",Physical Properties,Filler Content,17.0 - 25.0,17.0 - 25.0 %,Average value: 19.7% Grade Count:3,%,,Polymers_material_data.csv
PBT,"Polybutylene Terephthalate (PBT), Unreinforced, Molded",Physical Properties,Water Absorption,0.000 - 0.600,0.000 - 0.600 %,Average value: 0.187% Grade Count:136,%,,Polymers_material_data.csv
PBT,"Polybutylene Terephthalate (PBT), Unreinforced, Molded",Physical Properties,Moisture Absorption at Equilibrium,0.0100 - 0.500,0.0100 - 0.500 %,Average value: 0.0970% Grade Count:171,%,,Polymers_material_data.csv
PBT,"Polybutylene Terephthalate (PBT), Unreinforced, Molded",Physical Properties,Water Absorption at Saturation,0.0900 - 0.500,0.0900 - 0.500 %,Average value: 0.380% Grade Count:64,%,,Polymers_material_data.csv
PBT,"Polybutylene Terephthalate (PBT), Unreinforced, Molded",Physical Properties,Viscosity,1.60 - 600000,1.60 - 600000 cP,Average value: 201000 cP Grade Count:7,cP,,Polymers_material_data.csv
